Gen# 	 MinFit 	 AvgFit 	 MaxFit 
139 	 7.22007E-02 	 3.11005E-01 	 8.01056E-01 
140 	 7.22007E-02 	 3.10903E-01 	 7.78661E-01 
141 	 7.22007E-02 	 2.94261E-01 	 7.58130E-01 
142 	 7.22007E-02 	 3.05956E-01 	 7.76246E-01 
143 	 7.22007E-02 	 2.99535E-01 	 7.59144E-01 
144 	 7.22007E-02 	 3.20642E-01 	 6.85226E-01 
145 	 7.22007E-02 	 3.09981E-01 	 6.26442E-01 
146 	 7.22007E-02 	 3.10484E-01 	 6.71587E-01 
147 	 7.22007E-02 	 3.12920E-01 	 7.76897E-01 
148 	 7.22007E-02 	 2.98567E-01 	 7.07991E-01 
149 	 7.22007E-02 	 3.14876E-01 	 7.68502E-01 
150 	 7.22007E-02 	 3.10596E-01 	 7.45524E-01 
151 	 7.22007E-02 	 2.93460E-01 	 8.18231E-01 
152 	 7.22007E-02 	 2.82593E-01 	 6.30382E-01 
153 	 7.22007E-02 	 2.89102E-01 	 7.82231E-01 
154 	 7.22007E-02 	 3.01914E-01 	 7.97940E-01 
155 	 7.22007E-02 	 2.85995E-01 	 7.08072E-01 
156 	 7.22007E-02 	 3.14632E-01 	 7.61680E-01 
157 	 7.22007E-02 	 3.07409E-01 	 7.70181E-01 
158 	 7.22007E-02 	 2.99125E-01 	 6.83415E-01 
159 	 7.22007E-02 	 3.02712E-01 	 7.39282E-01 
160 	 7.22007E-02 	 3.08237E-01 	 8.91884E-01 
161 	 7.22007E-02 	 3.10183E-01 	 7.88103E-01 
162 	 7.22007E-02 	 3.04335E-01 	 8.20134E-01 
163 	 7.22007E-02 	 2.85256E-01 	 8.07111E-01 
164 	 7.22007E-02 	 2.84498E-01 	 5.70104E-01 
165 	 7.22007E-02 	 3.00894E-01 	 7.56269E-01 
166 	 7.22007E-02 	 3.10500E-01 	 7.38531E-01 
167 	 7.22007E-02 	 2.73062E-01 	 4.88423E-01 
168 	 7.22007E-02 	 3.05525E-01 	 7.63593E-01 
169 	 7.22007E-02 	 2.93680E-01 	 6.60927E-01 
170 	 7.22007E-02 	 3.08742E-01 	 8.45408E-01 
171 	 7.22007E-02 	 2.98987E-01 	 8.85239E-01 
172 	 7.22007E-02 	 3.03958E-01 	 8.16317E-01 
173 	 7.22007E-02 	 2.93149E-01 	 6.67590E-01 
174 	 7.22007E-02 	 3.11010E-01 	 8.10313E-01 
175 	 7.22007E-02 	 3.15998E-01 	 8.49787E-01 
176 	 7.22007E-02 	 2.97091E-01 	 6.54317E-01 
177 	 7.22007E-02 	 2.99292E-01 	 6.80965E-01 
178 	 7.22007E-02 	 3.14529E-01 	 7.53936E-01 
179 	 7.22007E-02 	 3.16601E-01 	 6.66582E-01 
180 	 7.22007E-02 	 3.10507E-01 	 8.14196E-01 
181 	 7.22007E-02 	 3.15472E-01 	 7.42594E-01 
182 	 7.22007E-02 	 3.09643E-01 	 7.35390E-01 
183 	 7.22007E-02 	 3.05170E-01 	 7.84014E-01 
184 	 7.22007E-02 	 3.15335E-01 	 6.75357E-01 
185 	 7.22007E-02 	 3.26363E-01 	 8.06256E-01 
186 	 7.22007E-02 	 3.26717E-01 	 7.91345E-01 
187 	 7.22007E-02 	 3.18708E-01 	 7.71410E-01 
188 	 7.22007E-02 	 3.08572E-01 	 7.38470E-01 
189 	 7.22007E-02 	 3.23454E-01 	 7.20377E-01 
190 	 7.22007E-02 	 3.18173E-01 	 9.16330E-01 
191 	 7.22007E-02 	 2.92095E-01 	 5.82070E-01 
192 	 7.22007E-02 	 3.13758E-01 	 8.84991E-01 
193 	 7.22007E-02 	 3.11416E-01 	 7.63457E-01 
194 	 7.22007E-02 	 3.05614E-01 	 8.06993E-01 
195 	 7.22007E-02 	 3.00878E-01 	 7.53601E-01 
196 	 7.22007E-02 	 3.13815E-01 	 7.76305E-01 
197 	 7.22007E-02 	 3.07419E-01 	 6.36460E-01 
198 	 7.22007E-02 	 3.14110E-01 	 6.96020E-01 
199 	 7.22007E-02 	 3.02333E-01 	 6.82689E-01 
200 	 7.22007E-02 	 3.03654E-01 	 8.23165E-01 
201 	 7.22007E-02 	 2.88177E-01 	 6.52790E-01 
202 	 7.22007E-02 	 2.90882E-01 	 6.12078E-01 
203 	 7.22007E-02 	 2.99707E-01 	 6.07661E-01 
204 	 7.22007E-02 	 3.21217E-01 	 7.99974E-01 
205 	 7.22007E-02 	 3.16124E-01 	 8.82706E-01 
206 	 7.22007E-02 	 2.99651E-01 	 7.32081E-01 
207 	 7.22007E-02 	 3.12032E-01 	 7.05619E-01 
208 	 7.22007E-02 	 3.03182E-01 	 7.31888E-01 
209 	 7.22007E-02 	 3.06531E-01 	 7.75767E-01 
210 	 7.22007E-02 	 3.05980E-01 	 7.34929E-01 
211 	 7.22007E-02 	 3.08251E-01 	 7.45610E-01 
212 	 7.22007E-02 	 3.03447E-01 	 6.43210E-01 
213 	 7.22007E-02 	 3.00171E-01 	 7.76104E-01 
214 	 7.22007E-02 	 3.05598E-01 	 7.84890E-01 
215 	 7.22007E-02 	 2.97275E-01 	 6.22808E-01 
216 	 7.22007E-02 	 2.86211E-01 	 4.57329E-01 
217 	 7.22007E-02 	 3.15160E-01 	 8.41279E-01 
218 	 7.22007E-02 	 3.01794E-01 	 7.97486E-01 
219 	 7.22007E-02 	 3.12507E-01 	 6.24516E-01 
220 	 7.22007E-02 	 2.97992E-01 	 8.49944E-01 
221 	 7.22007E-02 	 2.94304E-01 	 5.90111E-01 
222 	 7.22007E-02 	 3.09834E-01 	 7.36505E-01 
223 	 7.22007E-02 	 2.89424E-01 	 4.99264E-01 
224 	 7.22007E-02 	 3.14711E-01 	 7.18163E-01 
225 	 7.22007E-02 	 3.33745E-01 	 8.45760E-01 
226 	 7.22007E-02 	 3.30139E-01 	 7.67639E-01 
227 	 7.22007E-02 	 3.04021E-01 	 6.96083E-01 
228 	 7.22007E-02 	 2.98050E-01 	 7.44061E-01 
229 	 7.22007E-02 	 3.15590E-01 	 8.42073E-01 
230 	 7.22007E-02 	 3.32104E-01 	 7.57573E-01 
231 	 7.22007E-02 	 3.16382E-01 	 7.88013E-01 
232 	 7.22007E-02 	 3.11427E-01 	 7.76310E-01 
233 	 7.22007E-02 	 2.92607E-01 	 6.20817E-01 
234 	 7.22007E-02 	 3.11629E-01 	 8.36075E-01 
235 	 7.22007E-02 	 3.02977E-01 	 6.89207E-01 
236 	 7.22007E-02 	 3.24173E-01 	 8.12821E-01 
237 	 7.22007E-02 	 3.16604E-01 	 8.45034E-01 
238 	 7.22007E-02 	 3.16928E-01 	 7.39524E-01 
239 	 7.22007E-02 	 3.26684E-01 	 8.86679E-01 
240 	 7.22007E-02 	 3.13022E-01 	 7.37443E-01 
241 	 7.22007E-02 	 3.25634E-01 	 7.03378E-01 
242 	 7.22007E-02 	 3.16629E-01 	 7.51965E-01 
243 	 7.22007E-02 	 3.17491E-01 	 7.50244E-01 
244 	 7.22007E-02 	 3.04363E-01 	 5.64010E-01 
245 	 6.95886E-02 	 3.18038E-01 	 7.89901E-01 
246 	 6.95886E-02 	 3.10111E-01 	 7.34551E-01 
247 	 6.95886E-02 	 3.08271E-01 	 8.77439E-01 
248 	 6.95886E-02 	 3.14717E-01 	 8.35800E-01 
249 	 6.95886E-02 	 3.20823E-01 	 7.97276E-01 
250 	 6.95886E-02 	 3.01570E-01 	 6.14091E-01 
251 	 6.95886E-02 	 3.32063E-01 	 7.77925E-01 
252 	 6.95886E-02 	 2.88421E-01 	 5.43716E-01 
253 	 6.95886E-02 	 3.23574E-01 	 8.25428E-01 
254 	 6.95886E-02 	 3.35732E-01 	 7.92252E-01 
255 	 6.95886E-02 	 3.12385E-01 	 7.40081E-01 
256 	 6.95886E-02 	 3.06010E-01 	 6.67545E-01 
257 	 6.95886E-02 	 3.21314E-01 	 8.16903E-01 
258 	 6.95886E-02 	 3.14557E-01 	 7.04907E-01 
259 	 6.95886E-02 	 2.95684E-01 	 6.82832E-01 
260 	 6.95886E-02 	 2.91467E-01 	 9.45024E-01 
261 	 6.95886E-02 	 2.97325E-01 	 6.15831E-01 
262 	 6.95886E-02 	 3.14190E-01 	 8.62050E-01 
263 	 6.95886E-02 	 3.00856E-01 	 7.60090E-01 
264 	 6.95886E-02 	 3.00058E-01 	 6.55976E-01 
265 	 6.95886E-02 	 3.15817E-01 	 6.83366E-01 
266 	 6.95886E-02 	 2.96328E-01 	 5.98964E-01 
267 	 6.95886E-02 	 2.83126E-01 	 5.25881E-01 
268 	 6.95886E-02 	 2.88958E-01 	 5.38404E-01 
269 	 6.95886E-02 	 3.00755E-01 	 7.50377E-01 
270 	 6.95886E-02 	 2.82897E-01 	 6.72992E-01 
271 	 6.95886E-02 	 3.04862E-01 	 7.68910E-01 
272 	 6.95886E-02 	 2.94733E-01 	 7.34282E-01 
273 	 6.95886E-02 	 2.94108E-01 	 6.37891E-01 
274 	 6.95886E-02 	 3.00705E-01 	 5.98459E-01 
275 	 6.95886E-02 	 3.27276E-01 	 8.84833E-01 
276 	 6.95886E-02 	 3.15474E-01 	 6.87124E-01 
277 	 6.95886E-02 	 3.09813E-01 	 8.94122E-01 
278 	 6.95886E-02 	 3.17691E-01 	 7.77631E-01 
279 	 6.95886E-02 	 2.97708E-01 	 8.18238E-01 
280 	 6.95886E-02 	 3.18294E-01 	 7.15703E-01 
281 	 6.95886E-02 	 3.02398E-01 	 6.42470E-01 
282 	 6.95886E-02 	 3.14837E-01 	 7.74583E-01 
283 	 6.95886E-02 	 3.02835E-01 	 7.18908E-01 
284 	 6.95886E-02 	 2.94864E-01 	 6.14456E-01 
285 	 6.95886E-02 	 3.03103E-01 	 6.14656E-01 
286 	 6.95886E-02 	 2.93170E-01 	 7.28243E-01 
287 	 6.95886E-02 	 2.99508E-01 	 6.47055E-01 
288 	 6.95886E-02 	 2.95549E-01 	 7.42181E-01 
289 	 6.95886E-02 	 3.16739E-01 	 7.66716E-01 
290 	 6.95886E-02 	 3.08720E-01 	 6.90966E-01 
291 	 6.95886E-02 	 2.91916E-01 	 7.29804E-01 
292 	 6.95886E-02 	 3.00360E-01 	 6.27488E-01 
293 	 6.95886E-02 	 2.99703E-01 	 8.88951E-01 
294 	 6.95886E-02 	 2.97342E-01 	 6.82961E-01 
295 	 6.95886E-02 	 2.86413E-01 	 6.60135E-01 
296 	 6.95886E-02 	 2.78132E-01 	 5.79943E-01 
297 	 6.95886E-02 	 2.87702E-01 	 8.49612E-01 
298 	 6.95886E-02 	 2.92888E-01 	 6.03611E-01 
299 	 6.95886E-02 	 2.98055E-01 	 7.32958E-01 
300 	 6.95886E-02 	 2.90638E-01 	 6.36274E-01 
301 	 6.95886E-02 	 3.10770E-01 	 8.54801E-01 
302 	 6.95886E-02 	 2.93642E-01 	 7.65585E-01 
303 	 6.95886E-02 	 2.97834E-01 	 7.23493E-01 
304 	 6.95886E-02 	 2.94203E-01 	 9.52280E-01 
305 	 6.95886E-02 	 3.00644E-01 	 8.10836E-01 
306 	 6.95886E-02 	 3.00536E-01 	 7.27698E-01 
307 	 6.95886E-02 	 3.02934E-01 	 7.13817E-01 
308 	 6.95886E-02 	 2.95772E-01 	 8.01413E-01 
309 	 6.95886E-02 	 3.06030E-01 	 6.70730E-01 
310 	 6.95886E-02 	 3.13891E-01 	 8.27751E-01 
311 	 6.95886E-02 	 2.92052E-01 	 6.92862E-01 
312 	 6.95886E-02 	 2.91726E-01 	 6.76874E-01 
313 	 6.95886E-02 	 3.06895E-01 	 6.38102E-01 
314 	 6.95886E-02 	 3.04789E-01 	 7.25187E-01 
315 	 6.95886E-02 	 3.11909E-01 	 7.02945E-01 
316 	 6.95886E-02 	 2.82794E-01 	 6.89677E-01 
317 	 6.95886E-02 	 2.96613E-01 	 6.78046E-01 
318 	 6.95886E-02 	 3.17771E-01 	 7.37972E-01 
319 	 6.95886E-02 	 3.21249E-01 	 7.57581E-01 
320 	 6.95886E-02 	 3.10334E-01 	 7.39599E-01 
321 	 6.95886E-02 	 2.92147E-01 	 8.01000E-01 
322 	 6.95886E-02 	 3.07248E-01 	 7.89372E-01 
323 	 6.95886E-02 	 2.95988E-01 	 5.60138E-01 
324 	 6.95886E-02 	 2.77506E-01 	 6.93759E-01 
325 	 6.95886E-02 	 3.12499E-01 	 8.06921E-01 
326 	 6.95886E-02 	 3.00102E-01 	 6.01389E-01 
327 	 6.95886E-02 	 3.03412E-01 	 7.69013E-01 
328 	 6.95886E-02 	 3.07504E-01 	 8.57377E-01 
329 	 6.95886E-02 	 3.15944E-01 	 7.90823E-01 
330 	 6.95886E-02 	 3.02455E-01 	 7.47908E-01 
331 	 6.95886E-02 	 2.88855E-01 	 7.83612E-01 
332 	 6.95886E-02 	 3.01525E-01 	 7.67807E-01 
333 	 6.95886E-02 	 3.09676E-01 	 7.74020E-01 
334 	 6.95886E-02 	 2.98213E-01 	 5.95095E-01 
335 	 6.95886E-02 	 3.03025E-01 	 8.18943E-01 
336 	 6.95886E-02 	 3.05202E-01 	 7.19684E-01 
337 	 6.95886E-02 	 3.00413E-01 	 5.59300E-01 
338 	 6.95886E-02 	 2.96036E-01 	 7.52755E-01 
339 	 6.95886E-02 	 2.97120E-01 	 7.56823E-01 
